calle,calle_proper,plazas_pmr,plazas_total,metros_pmr,zonas_cyd,nplazas_cyd,metros_cyd,plazas_ora,tipo_ora,ubicacion_ora,latitude,longitude
"ABENCERRAJES, CAMINO, DE LOS",Camino de los Abencerrajes,1,1,6.60,1,0,15.10,0,Ninguno,Ninguna,,
"ABU ISAAC, CALLE",Calle Abu Isaac,1,1,5.11,0,0,0.00,0,Ninguno,Ninguna,,
"ACEQUIA DE NAUJAR, CALLE",Calle Acequia de Naujar,1,3,8.70,0,0,0.00,0,Ninguno,Ninguna,,
"ACERA DE CANASTEROS, CALLE",Calle Acera de Canasteros,0,0,0.00,1,0,15.60,0,Ninguno,Ninguna,,
CALLE ACERA DE SAN ILDEFONSO,Calle Acera de San Ildefonso,0,0,0.00,0,0,0.00,50,Azul,Toda la calle,,
"ACERA DEL DARRO, CALLE",Calle Acera del Darro,2,3,16.50,7,3,165.20,0,Ninguno,Ninguna,,
"ACERA DEL TRIUNFO, CALLE",Calle Acera del Triunfo,0,0,0.00,1,0,20.30,0,Ninguno,Ninguna,,
"ACONCAGUA, CALLE",Calle Aconcagua,1,2,14.50,0,0,0.00,0,Ninguno,Ninguna,,
"ACTRIZ FABIANA LAURA, CALLE",Calle Actriz Fabiana Laura,1,1,6.50,0,0,0.00,0,Ninguno,Ninguna,,
"AGUSTIN LARA, CALLE",Calle Agustín Lara,2,2,11.50,0,0,0.00,0,Ninguno,Ninguna,,
"AGUSTINA DE ARAGON, CALLE",Calle Agustina de Aragón,1,2,10.00,3,4,61.00,0,Ninguno,Ninguna,,
"ALBERCA, CALLE",Calle Alberca,1,1,6.50,0,0,0.00,0,Ninguno,Ninguna,,
"ALBONDON, CALLE",Calle Albondón,2,3,18.10,0,0,0.00,0,Ninguno,Ninguna,,
"ALBU?OL, CALLE",Calle Albuñol,1,1,3.30,0,0,0.00,0,Ninguno,Ninguna,,
"ALCALA DE HENARES, CALLE",Calle Alcalá de Henares,0,0,0.00,1,3,15.20,0,Ninguno,Ninguna,,
"ALCALDE I?IGO MANRIQUE, CALLE",Calle Alcalde Íñigo Manrique,2,3,10.40,0,0,0.00,0,Ninguno,Ninguna,,
"ALCALDE MOSEN RUBI DE BRACAMOTE, CALLE",Calle Alcalde Mosén Rubí de Bracamonte,4,4,29.30,0,0,0.00,0,Ninguno,Ninguna,,
"ALEJANDRO DUMAS, CALLE",Calle Alejandro Dumas,1,1,6.50,0,0,0.00,0,Ninguno,Ninguna,,
"ALFACAR, CAMINO, DE",Camino de Alfacar,1,2,9.50,0,0,0.00,0,Ninguno,Ninguna,,
"ALHACABA, CUESTA",Cuesta de la Alhacaba,1,1,6.70,0,0,0.00,0,Ninguno,Ninguna,,
"ALHAMA DE GRANADA, CALLE",Calle Alhama de Granada,1,1,6.80,0,0,0.00,0,Ninguno,Ninguna,,
"ALHAMAR, CALLE",Calle Alhamar,3,4,19.32,5,3,78.13,67,Azul,Toda la calle,,
"ALHONDIGA, CALLE",Calle Alhóndiga,0,0,0.00,1,0,13.40,0,Ninguno,Ninguna,,
